identifier,observer,date,interaction_type,scope_requested,scope_performed,execution_performed,artifacts_reviewed,endorsement,limitations,classification,public_status
"INTERNAL_OBSERVATION_COPILOT_PUBLIC_SURFACE_BOUNDARY_READ_v0_1","Copilot","2026-07-08","architectural observation; semantic pressure observation","bounded internal LLM observance request","public repo and release reading pass","no","public repo; release notes; request framing","none","limited to visible public surfaces","boundary interpretation; navigation friction; semantic pressure surface; failure-case proposal","internal"
"INTERNAL_OBSERVATION_GEMINI_ACCESS_CONSTRAINED_v0_1","Gemini","2026-07-08","access constraint observation","bounded internal LLM observance request","attempted repository read","no","provided links","none","could not extract file text","navigation friction; LLM accessibility gap","internal"
"INTERNAL_OBSERVATION_PERPLEXITY_ACCESS_CONSTRAINED_v0_1","Perplexity","2026-07-08","access constraint observation","bounded internal LLM observance request","attempted repository read","no","provided links","none","could not extract file text","navigation friction; LLM accessibility gap","internal"
"INTERNAL_OBSERVATION_VIBE_FULL_SURFACE_BOUNDARY_READ_v0_1","Vibe","2026-07-08","architectural observation; semantic pressure observation","bounded internal LLM observance request","full surface reading pass","no","experiment docs; sandbox draft; exterior-observations corpus; main README","none","reading pass only","boundary interpretation; overclaim risk; terminology consistency; failure-case proposal","internal"
"INTERNAL_OBSERVATION_CLAUDE_FOUR_FILE_BOUNDARY_READ_v0_1","Claude","2026-07-08","architectural observation; semantic pressure observation","bounded internal LLM observance request","four directly linked files reviewed","no","protocol; instructions; intake template; sandbox draft","none","folder views inaccessible","boundary interpretation; semantic pressure surface; failure-case proposal; navigation friction; taxonomy ambiguity","internal"
"INTERNAL_OBSERVATION_PERPLEXITY_SECOND_PASS_ACCESS_CONSTRAINED_v0_1","internal-llm-v0_1","Perplexity","2026-07-08","access constraint observation;retrieval fidelity observation","navigation friction;LLM accessibility gap;retrieval fidelity limitation;plaintext packaging requirement","Second bounded LLM observance pass over v0.1.1 apparatus.","Conceptual pass based on prompt constraints and described goals because file contents could not be retrieved.","not_performed","none","Could not access or read the specific Fork v0.1.1 files or raw GitHub content from its environment.","No endorsement, validation, certification, approval, production-readiness assessment, legal conclusion, or compliance conclusion is implied."
"INTERNAL_OBSERVATION_GEMINI_V012_PLAINTEXT_PACKET_PASS_v0_1","Gemini","2026-07-08","architectural observation; semantic pressure observation; retrieval fidelity observation","v0.1.2 plaintext-packet observance pass","plaintext packet reading pass","not_performed","LLM_PLAINTEXT_REVIEW_PACKET_v0_1_2.md","none","no code execution or live GitHub/raw access attempted","boundary interpretation; retrieval fidelity sufficient; overclaim risk; hostile endorsement injection","internal"
"INTERNAL_OBSERVATION_PERPLEXITY_V012_PLAINTEXT_PACKET_PASS_v0_1","Perplexity","2026-07-08","architectural observation; retrieval fidelity observation","v0.1.2 plaintext-packet observance pass","plaintext packet reading pass","not_performed","LLM_PLAINTEXT_REVIEW_PACKET_v0_1_2.md","none","no code execution or repository navigation beyond packet content","boundary interpretation; retrieval fidelity sufficient; downstream excerpting risk","internal"
"INTERNAL_OBSERVATION_COPILOT_V012_STALE_SURFACE_DRIFT_v0_1","Copilot","2026-07-08","retrieval fidelity observation; architectural observation","v0.1.2 observance pass","apparent stale or partial surface reading pass","not_performed","unclear; appears to include v0.1.1 or public surfaces","none","possible stale or partial retrieval","stale or partial retrieval; surface substitution; retrieval fidelity limitation","internal"
"INTERNAL_OBSERVATION_VIBE_STALE_V011_SURFACE_REPLAY_v0_1","Vibe","2026-07-08","retrieval fidelity observation","v0.1.2 observance pass","apparent earlier v0.1.1 surface replay","not_performed","earlier v0.1.1 materials","none","appears stale relative to current v0.1.2 packet","stale or partial retrieval; retrieval fidelity limitation","internal"
"INTERNAL_OBSERVATION_CLAUDE_RETRIEVAL_FIDELITY_RECOMPUTE_v0_1","Claude","2026-07-08","technical recomputation; retrieval fidelity observation; meta-observation","retrieval fidelity check","diff and SHA-256 comparison","performed","uploaded file and repository copy","none","source identity check only, not product review","retrieval fidelity sufficient; hash comparison; source identity confirmation","internal"
